Wall time,Step,Value
1686295800,0,0.314741045
1686295822,1,0.310756981
1686295844,2,0.24701196
1686295865,3,0.211155385
1686295886,4,0.29880479
1686295908,5,0.374502003
1686295929,6,0.398406386
1686295950,7,0.358565748
1686295971,8,0.434262961
1686295993,9,0.517928302
1686296015,10,0.537848592
1686296036,11,0.645418346
1686296058,12,0.737051785
1686296079,13,0.764940262
1686296100,14,0.792828679
1686296121,15,0.760956168
1686296141,16,0.764940262
1686296162,17,0.729083657
1686296182,18,0.780876517
1686296202,19,0.828685284
1686296223,20,0.836653411
1686296244,21,0.836653411
1686296265,22,0.836653411
1686296286,23,0.82470119
1686296306,24,0.848605573
1686296327,25,0.840637445
1686296348,26,0.816733062
1686296369,27,0.816733062
1686296392,28,0.856573701
1686296412,29,0.860557795
1686296433,30,0.852589667
1686296453,31,0.868525922
1686296474,32,0.868525922
1686296495,33,0.864541829
1686296515,34,0.856573701
1686296536,35,0.860557795
1686296556,36,0.868525922
1686296576,37,0.864541829
1686296597,38,0.868525922
1686296617,39,0.872509956
1686296638,40,0.87649405
1686296659,41,0.87649405
1686296680,42,0.872509956
1686296701,43,0.880478084
1686296722,44,0.87649405
1686296743,45,0.872509956
1686296764,46,0.880478084
1686296785,47,0.868525922
1686296805,48,0.87649405
1686296825,49,0.87649405
1686296846,50,0.868525922
1686296866,51,0.872509956
1686296887,52,0.868525922
1686296908,53,0.872509956
1686296930,54,0.872509956
