Wall time,Step,Value
1686295800,0,1.272722006
1686295822,1,1.06755805
1686295844,2,0.940423429
1686295865,3,0.83353734
1686295886,4,0.758342326
1686295908,5,0.704196036
1686295929,6,0.645756245
1686295950,7,0.612729251
1686295971,8,0.575072885
1686295993,9,0.544704854
1686296015,10,0.526142538
1686296036,11,0.496911079
1686296058,12,0.479594171
1686296079,13,0.452369332
1686296100,14,0.457056373
1686296121,15,0.443179846
1686296141,16,0.43726483
1686296162,17,0.43386513
1686296182,18,0.416719437
1686296202,19,0.425638884
1686296223,20,0.429204851
1686296244,21,0.408581644
1686296265,22,0.387796819
1686296286,23,0.392140031
1686296306,24,0.378557563
1686296327,25,0.382767081
1686296348,26,0.382459104
1686296369,27,0.355000824
1686296392,28,0.369864494
1686296412,29,0.36308223
1686296433,30,0.338874459
1686296453,31,0.338348359
1686296474,32,0.351184309
1686296495,33,0.345160276
1686296515,34,0.358191907
1686296536,35,0.32539615
1686296556,36,0.347080678
1686296576,37,0.351548046
1686296597,38,0.340242684
1686296617,39,0.333520889
1686296638,40,0.318894565
1686296659,41,0.338138759
1686296680,42,0.323807538
1686296701,43,0.340834826
1686296722,44,0.324636787
1686296743,45,0.350826889
1686296764,46,0.329846531
1686296785,47,0.333349407
1686296805,48,0.342216253
1686296825,49,0.317278922
1686296846,50,0.295188606
1686296866,51,0.323068082
1686296887,52,0.325912058
1686296908,53,0.313768357
1686296930,54,0.339158565
